judul;pasal;jenis_penertiban;jenis_pelanggaran;enabled
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 12 huruf b;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang melakukan perbuatan yg merusak pagar jalur hijau atau taman beserta kelengkapannya;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 12 huruf c;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang bertempat tinggal di jalur hjau / tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 12 huruf d;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang menyalahgunakan fungsi jalur hijau, taman dan tempat-tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 12 huruf e;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang berada, berdiri, duduk, jongkok di jalur hijau, taman,serta tempat-tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 12 huruf f;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang melompati / menerobos jembatan atau pagar, atau tempat-tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 12 huruf g;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang memotong, menebang pohon atau tanaman yang tumbuh di sepanjang jalur hijau dan taman;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 12 huruf h;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;Dilarang berjongkok dan berdiri di atas bangku taman serta membuang sisa permen karet pada bangku taman.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 13 huruf a;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;"Dilarang membangun tempat mandi cuci kakus, hunian/tempat tinggal atau tempat usaha di atas saluran sungai dan bantaran sungai serta di dalam kawasan setu, waduk dan danau;";TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 13 huruf b;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Dilarang memasang/menempatkan kabel atau pipa di bawah atau melintasi saluran sungai serta di dalam kawasan setu, waduk dan danau;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 14 ayat 1;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Setiap orang dilarang mandi, membersihkan anggota badan, mencuci pakaian, kendaraan atau benda-benda dan/atau memandikan hewan di kolam-kolam kelengkapan keindahan kota.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 14 ayat 2;TERTIB SUNGAI, SALURAN, KOLAM DAN LEPAS PANTAI;Setiap orang dilarang mengambil air dari air mancur, kolam-kolam kelengkapan keindahan kota dan tempat lainnya yang sejenis kecuali apabila hal ini dilaksanakan oleh petugas untuk kepentingan dinas.;TRUE
