NO;PASAL;PERDA;JENIS PENERTIBAN;JENIS PELANGGARAN
125;Pasal 12 ayat 1 huruf a;PERDA NO. 9 TAHUN 2014;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame yang bersifat komersial pada gedung Pemerintah Pusat/Daerah/TNI/Polri tidak termasuk halaman kantor dan gedung milik BUMN dan BUMD
126;Pasal 12 ayat 1 huruf b;PERDA NO. 9 TAHUN 2014;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame yang bersifat komersial pada gedung atau halaman tempat pendidikan/sekolah dan tempat-tempat ibadah
127;Pasal 12 ayat 1 huruf c;PERDA NO. 9 TAHUN 2014;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame yang bersifat komersial pada tempat lain yang ditetapkan dengan Peraturan Gubernur
128;Pasal 12 ayat 2;PERDA NO. 9 TAHUN 2014;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame papan/billboard/megatron/videotron/large electronic display (LED) di luar kawasan yang telah ditetapkan oleh Gubernur
129;Pasal 12 ayat 3;PERDA NO. 9 TAHUN 2014;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame makanan/minuman beralkohol kecuali pada tempat-tempat tertentu yang diizikan menjual makanan/minuman beralkohol
130;Pasal 12 ayat 4;PERDA NO. 9 TAHUN 2014;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame rokok dan produk tembakau pada kawasan tertentu yang ditetapkan dengan Peraturan Gubernur
131;Pasal 12 ayat 5;PERDA NO. 9 TAHUN 2014;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame yang bertentangan dengan prinsip-prinsip sebagaimana dimaksud Pasal 2
132;Pasal 32;PERDA NO. 9 TAHUN 2014;TERTIB PENYELENGGARAAN REKLAME;Reklame tanpa izin penyelenggaraan reklame, telah berakhir masa izinnya, tanpa peneng / tanda pelunasan pajak, terdapat perubahan, sehungga tidak sesuai lagi dengan izin penyelenggaraan titik reklame yang diberikan, tidak sesuai dengan letak, bentuk dan ukuran yang ada di TLBR, tidak sesuai lagi dengan rekomendasi konstruksi dan tidak terawat dengan baik
133;Pasal 8 ayat 1 huruf a;PERDA NO. 2 TAHUN 2020;TERTIB PENGGUNAAN MASKER (PPKM);Setiap orang wajib menggunakan masker sesuai dengan standar kesehatan yang menutupi hidung, mulut dagu ketika berada di luar rumah, saat berkendara, tempat kerja dan aktivitas lainnya
134;Pasal 11;PERDA NO. 2 TAHUN 2020;TERTIB PERKANTORAN / TEMPAT KERJA, TEMPAT USAHA, TEMPAT INDUSTRI, PERHOTELAN/ PENGINAPAN LAIN (PPKM);Perkantoran/tempat kerja, tempat usaha, tempat industri, perhotelan tidak melaksanakan protokol pencegahan Covid-19 sesuai kebijakan yang ditetapkan oleh instansi yang berwenang
135;Pasal 11 yat 1;PERDA NO. 2 TAHUN 2020;TERTIB PERKANTORAN / TEMPAT KERJA, TEMPAT USAHA, TEMPAT INDUSTRI, PERHOTELAN/ PENGINAPAN LAIN (PPKM);Tidak di temukan pelanggaran
136;Pasal 15;PERDA NO. 2 TAHUN 2020;TERTIB WARUNG MAKAN, RUMAH MAKAN, KAFE ATAU RESTORAN (PPKM);Warung makan, rumah makan, kafe atau restoran tidak melaksanakan protokol pencegahan Covid-19 sesuai kebijakan yang ditetapkan oleh instansi yang berwenang
137;Pasal 15 ayat 1;PERDA NO. 2 TAHUN 2020;TERTIB WARUNG MAKAN, RUMAH MAKAN, KAFE ATAU RESTORAN (PPKM);Tidak di temukan pelanggaran
138;Pasal 16;PERDA NO. 2 TAHUN 2020;TERTIB PEDAGANG KAKI LIMA (PPKM);Pedagang kaki lima tidak melaksanakan protokol pencegahan Covid-19 sesuai kebijakan yang ditetapkan oleh instansi yang berwenang
139;Pasal 16 ayat 1;PERDA NO. 2 TAHUN 2020;TERTIB PEDAGANG KAKI LIMA (PPKM);Tidak di temukan pelanggaran
140;Pasal 18;PERDA NO. 2 TAHUN 2020;TERTIB AREA PUBLIK DAN TEMPAT LAINNYA (PPKM);Area publik dan tempat lainnya yang menimbulkan kerumunan
141;Pasal 18 ayat 1;PERDA NO. 2 TAHUN 2020;TERTIB AREA PUBLIK DAN TEMPAT LAINNYA (PPKM);Tidak di temukan pelanggaran
142;Pasal 13 ayat 1;PERDA NO. 2 TAHUN 2005;TERTIB KAWASAN DILARANG MEROKOK (KDM);Dilarang merokok di tempat umum, sarana kesehatan, tempat kerja, tempat proses belajar mengajar, arena kegiatan anak, tempat ibadah dan angkutan umum
143;Pasal 13 ayat 2;PERDA NO. 2 TAHUN 2005;TERTIB KAWASAN DILARANG MEROKOK (KDM);Tidak di temukan pelanggaran
144;Pasal 127 ayat 2;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Pengelola kawasan pemukiman, komersil, industri, khusus lalai atau sengaja tidak menyediakan fasilitas pengelolaan sampah dikenakan sanksi administratif Rp. 10.000.000 s.d Rp. 50.000.000
145;Pasal 127 ayat 3;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Pengelola Fasilitas umum, sosial dan fasilitas lainnya lalai atau sengaja tidak menyediakan fasilitas pengelolaan sampah dikenakan sanksi administratif Rp. 1.000.000 s.d Rp. 5.000.000
146;Pasal 128;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Pengembang lalai atau sengaja tidak menyediakan fasilitas pengelolaan sampah dikenakan sanksi sesuai perundangan
147;Pasal 129 ayat 1;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Pengembang bangunan gedung hunian lebih dari 4 lantai lalai atau sengaja tidak menyediakan fasilitas pengelolaan sampah dikenakan sanksi sesuai perundangan
148;Pasal 129 ayat 2;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Produsen lalai atau sengaja tidak mencantumkan tanda yang berhubungan dengan pengurangan sampah pada kemasan dan produk yang dihasilkan beredar di daerah sulit terurai oleh proses alam dikenakan sanksi administratif berupa uang paksa sebesar Rp. 25.000.000 s.d Rp. 50.000.000
149;Pasal 129 ayat 3;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Pengelola Pusat perbelanjaan, toko modern dan pasar lalai atau sengaja tidak menggunakan kantong belanja yang ramah lingkungan dikenakan sanksi administratif berupa uang paksa sebesar Rp. 5.000.000 s.d Rp. 25.000.000
150;Pasal 130 ayat 1 huruf a;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Membuang sampah di luar jadwal yang ditentukan, dikenakan uang paksa sebanyak Rp. 100.000
151;Pasal 130 ayat 1 huruf b;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Membuang, Menumpuk Sampah dan atau Bangkai Binatang ke Sungai/Kali/Kanal, Waduk, Situ, Sauran Limbah, di Jalan atau Tempat Umum, dikenakan uang paksa paling banyak Rp.500.000
152;Pasal 130 ayat 1 huruf c;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Membuang sampah dari kendaraan, dikenakan uang paksa paling banyak Rp. 500.000
153;Pasal 130 ayat 1 huruf d;PERDA NO. 3 TAHUN 2013;TERTIB PENGELOLAAN SAMPAH;Mengeruk atau mengais sampah di TPS yang berakibat sampah menjadi berserakan, membuang sampah diluar tempat/lokasi pembuangan yang telah ditetapkan, dikenakan uang paksa paling banyak Rp. 500.000
