NO;PASAL;PERDA;JENIS PENERTIBAN;JENIS PELANGGARAN
15;Pasal 3 huruf h;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang membongkar, memotong, merusak atau membuat tidak berfungsi pagar pengamanan jalan
16;Pasal 3 huruf i;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang menggunakan trotoar tidak sesuai fungsinya kecuali ada izin Pejabat yg ditunjuk
17;Pasal 3 huruf j;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang melakukan perbuatan yang dapat berakibat merusak sebagian atau seluruh badan jalan dan membahayakan lalu lintas
18;Pasal 3 huruf k;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang menempelkan benda / barang bekas pada jalan raya dan jalan-jalan pemukiman
19;Pasal 5 huruf a;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang mengangkut bahan berdebu dan berbau busuk dengan angkutan yang terbuka
20;Pasal 5 huruf b;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang mengangkut bahan berbahaya dan beracun, bahan mudah terbakar dengan angkutan yang terbuka
21;Pasal 5 huruf c;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang melakukan galian, urugan dan menyelenggarakan angkutan tanpa izin Pejabat yang berwenang
22;Pasal 6;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang memanfaatkan ruang terbuka di bawah jembatan atau jalan layang kecuali mendapat izin dari Gubernur.
23;Pasal 7 ayat 1;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang melakukan pengaturan lalu lintas pada persimpangan / putaran / tikungan jalan dengan imbalan jasa
24;Pasal 7 ayat 2;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang melakukan pungutan uang terhadap kendaraan umum maupun angkutan barang yg tdk berwenang
25;Pasal 8;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap Pengendara bermotor dilarang membunyikan klakson dan wajib mengurangi kecepatan sewaktu melintasi tempat ibadah, pendidikan, rumah sakit selama kegiatan berlangsung
26;Pasal 9;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap orang dilarang membuang sampah, kotoran permen karet, meludah dan merokok dalam kendaraan umum
27;Pasal 10;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang memungut uang parkir di jalan-jalan ataupun di tempattempat umum, kecuali mendapat izin
28;Pasal 11 ayat 1;PERDA NO. 8 TAHUN 2007;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap orang wajib memarkir kendaraan di tempat yang telah ditentukan
